VARIABLENAME,VARIABLELABEL,VARTYPE,UNITS,CATEGORICAL,MISSING,COUNT,NA,MIN,MAX,Formula,Categorical Value Concept Code,Categorical Value Concept Name,Categorical Value OMOP ID,Variable Concept Code,Variable Concept Name,Variable OMOP ID,Additional Context Concept Name,Additional Context Concept Code,Additional Context OMOP ID,Unit Concept Name,Unit Concept Code,Unit OMOP ID,Domain,Visits,Visit Concept Name,Visit Concept Code,Visit OMOP ID
pregnant,Pregnancy: status,STR,,1= Yes|0=No,,5129,4871,,,,loinc:LA33-6|loinc:LA32-8,Yes| No,45877994|45878245,snomed:77386006,Pregnancy,4299535,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
pregnum,Pregnancy: total number,INT,,,999,5039,4961,,,,,,,snomed:246211005,Number of previous pregnancies,4078008,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
pregbfed,Ever breast fed,STR,,1= Yes|0=No,,5039,4961,,,,loinc:LA33-6|loinc:LA32-8,Yes| No,45877994|45878245,snomed:1260078007,Maternal breastfeeding,37174497,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
perstrt,Menstruation: start age ,INT,years,,,5130,4870,1,30,,,,,snomed:398700009,Age at menarche,4162552,,,,year,ucum:a,9448,Observation,M0,baseline time,loinc:64103-5,40766819
perend,Menstruation: stop age ,INT,years,,,3253,6747,13,69,,,,,snomed:773251000,Age at menopause,36676381,,,,year,ucum:a,9448,Observation,M0,baseline time,loinc:64103-5,40766819
dos,Date of survey,STR,,,,10000,0,,,,,,,loinc:76423-3,Date of first visit,46235913,,,,,,,Observation_period,M0,baseline time,loinc:64103-5,40766819
doof,Date of event/censoring,STR,,,,10000,0,,,,,,,snomed:439771001,Date of event,4208903,,,,,,,Observation_period,M0,baseline time,loinc:64103-5,40766819
outagef,Age at event/censoring,STR,,,,10000,0,,,,,,,loinc:75272-5,Age at event onset,46235847,,,,,,,Observation_period,M0,baseline time,loinc:64103-5,40766819
durationf,Time to event,INT,years,,,10000,0,,,,,,,snomed:460791000124109,Time of event,37208123,,,,year,ucum:a,9448,Observation_period,M0,baseline time,loinc:64103-5,40766819
epf_dead,Mortality,STR,,"0=""alive""|1=""dead"" ",-1,10000,0,,,,loinc:LA32-8|loinc:LA33-6,no|yes,45878245|45877994,snomed:419620001,Death,4306655,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_afibflut_f,cause of death: Atrial fibrillation / flutter,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Atrial flutter,snomed:5370000,314665,,,,Observation,M0,baseline time,loinc:64103-5,40766819
