VARIABLENAME,VARIABLELABEL,VARTYPE,UNITS,CATEGORICAL,MISSING,COUNT,NA,MIN,MAX,Formula,Categorical Value Concept Code,Categorical Value Concept Name,Categorical Value OMOP ID,Variable Concept Code,Variable Concept Name,Variable OMOP ID,Additional Context Concept Name,Additional Context Concept Code,Additional Context OMOP ID,Unit Concept Name,Unit Concept Code,Unit OMOP ID,Domain,Visits,Visit Concept Name,Visit Concept Code,Visit OMOP ID
epf_pneumo_f,cause of death: Pneumonia ,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Pneumonia,snomed:233604007,255848,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_pulemb_f,cause of death: Pulmonary embolism ,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Pulmonary embolism ,snomed:22298006,440417,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_pvd_f,cause of death: Peripheral vascular disease ,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Peripheral vascular disease ,snomed:400047006,321052,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_renal_f,cause of death: Renal disease ,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Kidney disease,snomed:90708001,198124,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_resp_f,cause of death: Respiratory system disease,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Disorder of respiratory system,snomed:50043002,320136,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_sah_f,cause of death: Subarachnoid haemorrhage,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Subarachnoid haemorrhage,snomed:21454007,432923,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_strh_f,cause of death: Haemorrhagic stroke,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Haemorrhagic stroke,snomed:1078001000000105,35609033,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_stri_f,cause of death: Ischemic stroke,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Ischemic stroke,snomed:422504002,4310996,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_stru_f,cause of death: Unclassified stroke,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Cerebrovascular accident,snomed:230690007,381316,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_suddth_f,cause of death: Sudden death,STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,snomed:184305005,cause of death,4083743,Sudden death,snomed:26636000,4132309,,,,Observation,M0,baseline time,loinc:64103-5,40766819
epf_vasc_f,cause of death: All vascular (All CHD plus all cerebrovascular),STR,,0=no| 1=yes| -1=yes (unk mortality)| 5=nonfatal censor| 6= fatal censor,,10000,0,,,,loinc:LA32-8|loinc:LA33-6|snomed:87309006|icare:icv200000098|icare:icv200000099,no|yes|Death of unknown cause|nonfatal censoring|fatal censoring,45878245|45877994|441413|2000000098|2000000099,,,,,,,,,,Observation,M0,baseline time,loinc:64103-5,40766819
DateBloodDraw,date of blood drawn,DATETIME,,,,9998,2,,,,,,,loinc:66240-3,Blood draw,40768918,Date,snomed:410672004,4260905,,,,Observation_period,M0,baseline time,loinc:64103-5,40766819
TimeBloodDraw,time of blood drawn,DATETIME,,,,9998,2,,,,,,,loinc:64111-8,Time at blood draw,40766826,,,,,,,Observation_period,M0,baseline time,loinc:64103-5,40766819
DateLastMeal,date of last meal,DATETIME,,,,9998,2,,,,,,,snomed:240941000000101,Time of last meal,44790570,Date,snomed:410672004,4260905,,,,Observation_period,M0,baseline time,loinc:64103-5,40766819
TimeLastMeal,time of last meal,DATETIME,,,,9998,2,,,,,,,snomed:240941000000101,Time of last meal,44790570,,,,,,,Observation_period,M0,baseline time,loinc:64103-5,40766819
CBCDate,Date of Complete Blood Count Analysis,DATETIME,,,,6310,3690,,,,,,,snomed:26604007,Complete blood count,4132152,Date,snomed:410672004,4260905,,,,Observation_period,M0,baseline time,loinc:64103-5,40766819
soma_7k,SomaScan 7K Assay - 7 000 total protein measurements,STR,,,,10000,0,,,,,,,icare:icv200000100,Soma Scan Assay,2000000100,,,,,,,Measurement,M0,baseline time,loinc:64103-5,40766819
