"VARIABLENAME","VARIABLELABEL","VARTYPE","UNITS","CATEGORICAL","MISSING","COUNT","NA","MIN","MAX","Formula","categorical value concept code","categorical value concept name","categorical value omop id","variable concept code","variable concept name","variable omop id","additional context concept name","additional context concept code","additional context omop id","unit concept name","unit concept code","unit omop id","domain","visits","visit omop id","visit concept name","visit concept code"
"BB_at_V6","Betablocker use at visit6","INT",,"1=yes|0=no",,489,133,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","atc:C07A","BETA BLOCKING AGENTS",21601665,,,,,,,"Drug_Exposure","month 6",4103967,"follow-up 6 months","snomed:300042001"
"BBAdj1","Betablocker adjustment at Visit1","INT",,"0 = no adjustment| 1= 1 times uptitration| 2= increase more than once| 3= reduction| 4= stop| 5= no adjustment due to side-effect| 6= other",,563,59,0,6,,"loinc:LA32-8|snomed:422114001|icare:icv2000000032|snomed:260400001|snomed:422117008|snomed:395009001|snomed:74964007","No|once|more than once|Reduced|stop|Medication stopped - side effect|other","45878245|4226232|2000000032|4127781|4226233|4216319|9177","atc:C07A","BETA BLOCKING AGENTS",21601665,"Adjustment","snomed:410617001",4253750,,,,"Drug_Exposure","month 1",4081745,"follow-up 1 month","snomed:183623000"
"BBAdj12","Betablocker adjustment at Visit12","INT",,"0 = no adjustment| 1= 1 times uptitration| 2= increase more than once| 3= reduction| 4= stop| 5= no adjustment due to side-effect| 6= other",,447,175,0,6,,"loinc:LA32-8|snomed:422114001|icare:icv2000000032|snomed:260400001|snomed:422117008|snomed:395009001|snomed:74964007","No|once|more than once|Reduced|stop|Medication stopped - side effect|other","45878245|4226232|2000000032|4127781|4226233|4216319|9177","atc:C07A","BETA BLOCKING AGENTS",21601665,"Adjustment","snomed:410617001",4253750,,,,"Drug_Exposure","month 12",4081746,"follow-up 1 year","snomed:183627004"
"BBAdj3","Betablocker adjustment at Visit3","INT",,"0 = no adjustment| 1= 1 times uptitration| 2= increase more than once| 3= reduction| 4= stop| 5= no adjustment due to side-effect| 6= other",,523,99,0,6,,"loinc:LA32-8|snomed:422114001|icare:icv2000000032|snomed:260400001|snomed:422117008|snomed:395009001|snomed:74964007","No|once|more than once|Reduced|stop|Medication stopped - side effect|other","45878245|4226232|2000000032|4127781|4226233|4216319|9177","atc:C07A","BETA BLOCKING AGENTS",21601665,"Adjustment","snomed:410617001",4253750,,,,"Drug_Exposure","month 3",44789369,"follow-up 3 months","snomed:200521000000107"
"BBAdj6","Betablocker adjustment at Visit6","INT",,"0 = no adjustment| 1= 1 times uptitration| 2= increase more than once| 3= reduction| 4= stop| 5= no adjustment due to side-effect| 6= other",,490,132,0,6,,"loinc:LA32-8|snomed:422114001|icare:icv2000000032|snomed:260400001|snomed:422117008|snomed:395009001|snomed:74964007","No|once|more than once|Reduced|stop|Medication stopped - side effect|other","45878245|4226232|2000000032|4127781|4226233|4216319|9177","atc:C07A","BETA BLOCKING AGENTS",21601665,"Adjustment","snomed:410617001",4253750,,,,"Drug_Exposure","month 6",4103967,"follow-up 6 months","snomed:300042001"
"BBAdjBL","Betablocker adjustment at Baseline","INT",,"0 = no adjustment| 1= 1 times uptitration| 2= increase more than once| 3= reduction| 4= stop| 5= no adjustment due to side-effect| 6= other",,621,1,0,6,,"loinc:LA32-8|snomed:422114001|icare:icv2000000032|snomed:260400001|snomed:422117008|snomed:395009001|snomed:74964007","No|once|more than once|Reduced|stop|Medication stopped - side effect|other","45878245|4226232|2000000032|4127781|4226233|4216319|9177","atc:C07A","BETA BLOCKING AGENTS",21601665,"Adjustment","snomed:410617001",4253750,,,,"Drug_Exposure","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"Bifasciculairblok","bifascicular block at baseline","INT",,"1=yes|0=no",,620,2,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","snomed:445481009","Bifascicular block on electrocardiogram",40483798,,,,,,,"Measurement","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
"Bifasciculairblok_12","bifascicular block at visit12","INT",,"1=yes|0=no",,430,192,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","snomed:445481009","Bifascicular block on electrocardiogram",40483798,,,,,,,"Measurement","month 12",4081746,"follow-up 1 year","snomed:183627004"
"Bifasciculairblok_18","bifascicular block at visit18","INT",,"1=yes|0=no",,395,227,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","snomed:445481009","Bifascicular block on electrocardiogram",40483798,,,,,,,"Measurement","month 18",44789050,"follow-up 18 months","snomed:199591000000102"
"BiventPM","Biventricular PM y/n","INT",,"1=yes|0=no",,622,0,0,1,,"loinc:LA33-6|loinc:LA32-8","Yes|No","45877994|45878245","snomed:429064006","Implantation of biventricular cardiac pacemaker system",4179363,,,,,,,"Condition_occurrence","month 0/ baseline",40766819,"Baseline time","loinc:64103-5"
