"VARIABLENAME","VARIABLELABEL","VARTYPE","UNITS","CATEGORICAL","MISSING","COUNT","NA","MIN","MAX","Formula","categorical value concept code","categorical value concept name","categorical value omop id","variable concept code","variable concept name","variable omop id","additional context concept name","additional context concept code","additional context omop id","unit concept name","unit concept code","unit omop id","domain","visits","visit omop id","visit concept name","visit concept code"
"f11_SUPERAL","Spirits (if alcohol YES) at 42 month follow-up","INT",,"2 = NO | 3 = sometimes | 4 = 1-2 glasses a day | 5 = 3-4 glasses a day | 6 = 5+ glasses a day",1,2459,4516,2,5,,"LOINC:LA32-8| LOINC:LA10082-8| LOINC:LA26462-4| SNOMED:396112008| loinc:LA13858-8","No| sometimes| 1 or 2 times per day|  Three to four times a day| 5 or more times per day","45878245| 45882528| 42530681| 4244842| 45882530","snomed:6524003","Distilled spirits",4275752,,,,,,,"Observation","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_TERAORMO","Hormone Replacement Therapy at 42 month follow-up","INT",,"2=No | 3=Yes",1,3789,3186,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","snomed:266717002","Hormone Replacement Therapy",4141760,,,,,,,"Drug_Exposure","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_TIAZIDI","Thiazides at 42 month follow-up","INT",,"2=No | 3=Yes",1,3790,3185,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","snomed:860766002","Thiazides",3655254,,,,,,,"Drug_Exposure","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_TRAND","Trandolapril at 42 month follow-up","INT",,"2=No | 3=Yes",1,3788,3187,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","rxnorm:38454","Trandolapril",1342439,,,,,,,"Drug_Exposure","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_VALUECG","ECG evaluation at 42 month follow-up","INT",,"2 = normal | 3 = abnormal",1,3336,3443,2,3,,"snomed:17621005|snomed:263654008","Normal | Abnormal","4069590|4135493","loinc:LP149975-7","ECG",1011679,"evaluation","snomed:723051000000101",44803879,,,,"Measurement","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_VERAP","Verapamil at 42 month follow-up","INT",,"2=No | 3=Yes",1,3787,3188,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","rxnorm:11170","Verapamil",1307863,,,,,,,"Drug_Exposure","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_VERCOTTA","Cooked vegetables at 42 month follow-up","INT",,"2 = never | 3 =2-3 times a week | 4 = once a day | 5= >1 times a day",1,3696,3279,2,5,,"SNOMED:444841000124107| LOINC:LA26463-2| LOINC:LA13897-6| SNOMED:1411000175107","Never| 2 or 3 times per week| once a day| more than once a day","763692| 42531019| 45876378| 761069","snomed:444011000124102","Cooked vegetables",763625,,,,,,,"Observation","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_VERCRUDA","Raw vegetables at 42 month follow-up","INT",,"2 = never | 3 =2-3 times a week | 4 = once a day | 5= >1 times a day",1,3696,3279,2,5,,"SNOMED:444841000124107| LOINC:LA26463-2| LOINC:LA13897-6| SNOMED:1411000175107","Never| 2 or 3 times per week| once a day| more than once a day","763692| 42531019| 45876378| 761069","snomed:314115004","Raw vegetables",4193035,,,,,,,"Observation","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f11_VINO","Wine (if alcohol YES) at 42 month follow-up","INT",,"2 = NO | 3 = sometimes | 4 = 1-2 glasses a day | 5 = 3-4 glasses a day | 6 = 5+ glasses a day",1,2459,4516,2,6,,"LOINC:LA32-8| LOINC:LA10082-8| LOINC:LA26462-4| SNOMED:396112008| loinc:LA13858-8","No| sometimes| 1 or 2 times per day|  Three to four times a day| 5 or more times per day","45878245| 45882528| 42530681| 4244842| 45882530","snomed:35748005","Wine",4262278,,,,,,,"Observation","Visit11/42months",2000000002,"follow-up 42 months","icare:icv2000000002"
"f12_ALCOOL","Alcohol at 48 month follow-up","INT",,"2 = NO | 3 = YES",1,2574,4401,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| yes","45878245| 45877994","snomed:219006","Current drinker",4074035,,,,,,,"Observation","Visit12/48months",2000000003,"follow-up 48 months","icare:icv2000000003"
"f12_ALLOPURI","Allopurinol at 48 month follow-up","INT",,"2=No | 3=Yes",1,2651,4324,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","rxnorm:519","Allopurinol",1167322,,,,,,,"Drug_Exposure","Visit12/48months",2000000003,"follow-up 48 months","icare:icv2000000003"
"f12_ALT","ALT (U/L) at 48 month follow-up","FLOAT","U/L",,,2152,4823,4,252,,,,,"loinc:76625-3","Alanine aminotransferase [Enzymatic activity/volume] in Blood",46235106,,,,"unit per liter","ucum:[U]/L",8645,"Measurement","Visit12/48months",2000000003,"follow-up 48 months","icare:icv2000000003"
"f12_ALTACE","other ACE-inhibitor at 48 month follow-up","INT",,"2=No | 3=Yes",1,2650,4325,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","atc:C09AA","""ACE inhibitors, plain""",21601784,"Other","snomed:74964007",9177,,,,"Drug_Exposure","Visit12/48months",2000000003,"follow-up 48 months","icare:icv2000000003"
"f12_ALTANO","Other ECG abnormality at 48 month follow-up","INT",,"0 = No | 1 = Yes",,2291,4488,0,1,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","loinc:LA24621-7","Abnormal ECG",36311174,,,,,,,"Measurement","Visit12/48months",2000000003,"follow-up 48 months","icare:icv2000000003"
"f12_ALTDIU","Other diuretics at 48 month follow-up","INT",,"2=No | 3=Yes",1,2651,4324,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","atc:C03","DIURETICS",21601461,"Other","snomed:74964007",9177,,,,"Drug_Exposure","Visit12/48months",2000000003,"follow-up 48 months","icare:icv2000000003"
"f12_ALTROARI","Other antiarrhythmic agent at 48 month follow-up","INT",,"2=No | 3=Yes",1,2650,4325,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","atc:C01B","ANTIARRHYTHMICS, CLASS I AND III",21600248,"Other","snomed:74964007",9177,,,,"Drug_Exposure","Visit12/48months",2000000003,"follow-up 48 months","icare:icv2000000003"
"f12_ALTROBB","Other beta blocker at 48 month follow-up","INT",,"2=No | 3=Yes",1,2650,4325,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","atc:C07A","BETA BLOCKING AGENTS",21601665,"Other","snomed:74964007",9177,,,,"Drug_Exposure","Visit12/48months",2000000003,"follow-up 48 months","icare:icv2000000003"
"f12_ALTROCA","Other calcium antagonist at 48 month follow-up","INT",,"2=No | 3=Yes",1,2649,4326,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","atc:C08C","SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS",21601745,"Other","snomed:74964007",9177,,,,"Drug_Exposure","Visit12/48months",2000000003,"follow-up 48 months","icare:icv2000000003"
"f12_ALTRODIL","Other vasodilator at 48 month follow-up","INT",,"2=No | 3=Yes",1,2650,4325,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","snomed:372787008","Vasodilator",4158258,"Other","snomed:74964007",9177,,,,"Drug_Exposure","Visit12/48months",2000000003,"follow-up 48 months","icare:icv2000000003"
"f12_AMIODAR","Amiodarone at 48 month follow-up","INT",,"2=No | 3=Yes",1,2650,4325,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","rxnorm:703","Amiodarone",1309944,,,,,,,"Drug_Exposure","Visit12/48months",2000000003,"follow-up 48 months","icare:icv2000000003"
"f12_AMLOD","Amlodipine at 48 month follow-up","INT",,"2=No | 3=Yes",1,2649,4326,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","rxnorm:17767","Amlodipine",1332418,,,,,,,"Drug_Exposure","Visit12/48months",2000000003,"follow-up 48 months","icare:icv2000000003"
"f12_ANTIAGGR","Other antiaggregants at 48 month follow-up","INT",,"2=No | 3=Yes",1,2651,4324,2,3,,"LOINC:LA32-8| LOINC:LA33-6","No| Yes","45878245| 45877994","snomed:840595002","Platelet aggregation inhibitor therapy",3655005,"Other","snomed:74964007",9177,,,,"Drug_Exposure","Visit12/48months",2000000003,"follow-up 48 months","icare:icv2000000003"
