VARIABLENAME,VARIABLELABEL,VARTYPE,UNITS,CATEGORICAL,MISSING,COUNT,NA,MIN,MAX,Formula,Categorical Value Concept Code,Categorical Value Concept Name,Categorical Value OMOP ID,Variable Concept Code,Variable Concept Name,Variable OMOP ID,Additional Context Concept Name,Additional Context Concept Code,Additional Context OMOP ID,Unit Concept Name,Unit Concept Code,Unit OMOP ID,Domain,Visits,Visit OMOP ID,Visit Concept Name,Visit Concept Code
TIPO_MORTE,Type sudden death,INT,,1=not significant| 2=instant death| 3=not witnessed decease| 4=deceased until 28 days| 5=deceased until 60 minutes,,1944,9045,1,5,,loinc:LA24821-3|snomed:50514002|loinc:LA18023-4|icare:icv200000067|icare:icv200000068,Not significant|instantaneous death|not witnessed|Mortality within 28 days|Mortality within 60 minutes,1177306|441139|45877356|200000067|200000068,snomed:26636000,Sudden death,4132309,Type,snomed:410656007,4259643,,,,Death,event date,4208903,Date of event,SNOMED:439771001
CABG,Decease followed after CABG (if decease following surgical cardiac procedures),INT,,0=no| 1=yes,,442,10547,0,1,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:184305005,Cause of death,4083743,Coronary artery bypass graft,snomed:232717009,4336464,,,,Death,event date,4208903,Date of event,SNOMED:439771001
TRAP,Decease followed after transplant (if decease following surgical cardiac procedures),INT,,0=no| 1=yes,,442,10547,0,1,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:184305005,Cause of death,4083743,Transplantation of heart,Snomed:32413006,4137127,,,,Death,event date,4208903,Date of event,SNOMED:439771001
PCI,Decease followed after PCI (if decease following surgical cardiac procedures),INT,,0=no| 1=yes,,442,10547,0,0,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:184305005,Cause of death,4083743,Percutaneous coronary intervention,Snomed:415070008,4216130,,,,Death,event date,4208903,Date of event,SNOMED:439771001
ALTRO_INT,Decease followed after other surgical procedure (if decease following surgical cardiac procedures),INT,,0=no| 1=yes,,442,10547,0,1,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:184305005,Cause of death,4083743,Surgical procedure|other,Snomed:387713003|snomed:74964007,4301351|9177,,,,Death,event date,4208903,Date of event,SNOMED:439771001
DESCINT,Description other surgical procedure,STR,,,,8,10981,,,,,,,snomed:184305005,Cause of death,4083743,Type|Surgical procedure|other,snomed:410656007|Snomed:387713003|snomed:74964007,4259643|4301351|9177,,,,Death,event date,4208903,Date of event,SNOMED:439771001
DESCCARD,Description other cardiovascular reason (if deceased for Other cardiovascular events),STR,,,,63,10926,,,,,,,snomed:184305005,Cause of death,4083743,Type|Other,Snomed:50849002|snomed:74964007,4176269|9177,,,,Death,event date,4208903,Date of event,SNOMED:439771001
ICTUS,Stroke type,INT,,0=no stroke| 1=haemorragic| 2=ischemic,3,1953,9036,0,3,,snomed:373067005| snomed:255345002| snomed:255426005,No| haemorragic|ischemic,4188540| 4116701|4115429,snomed:230690007,Cerebrovascular accident,381316,Type,snomed:410656007,4259643,,,,Condition_occurrence,event date,4208903,Date of event,SNOMED:439771001
GASTRO,Gastrointestinal neoplasia (if decease reason neoplasia),INT,,0=no| 1=yes,,442,10547,0,1,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:184305005,Cause of death,4083743,Gastrointestinal stromal tumor,SNOMED:1187383001,37156914,,,,Death,event date,4208903,Date of event,SNOMED:439771001
POLM,Pulmonary neoplasia (if decease reason neoplasia),INT,,0=no| 1=yes,,442,10547,0,1,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:184305005,Cause of death,4083743,Malignant tumor of lung,snomed:363358000,443388,,,,Death,event date,4208903,Date of event,SNOMED:439771001
MAMM,Breast cancer (if decease reason neoplasia),INT,,0=no| 1=yes,,442,10547,0,1,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:184305005,Cause of death,4083743,Breast cancer,LOINC:LA14283-8,45884515,,,,Death,event date,4208903,Date of event,SNOMED:439771001
PROST,Prostate cancer (if decease reason neoplasia),INT,,0=no| 1=yes,,442,10547,0,1,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:184305005,Cause of death,4083743,Prostate cancer,LOINC:LA15688-7,45884513,,,,Death,event date,4208903,Date of event,SNOMED:439771001
CERV,Brain tumor (if decease reason neoplasia),INT,,0=no| 1=yes,,442,10547,0,1,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:184305005,Cause of death,4083743,Suspected brain tumor,SNOMED:315263004,4202549,,,,Death,event date,4208903,Date of event,SNOMED:439771001
CUT,Skin cancer (if decease reason neoplasia),INT,,0=no| 1=yes,,442,10547,0,0,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:184305005,Cause of death,4083743,Skin cancer,LOINC:LA10543-9,45883361,,,,Death,event date,4208903,Date of event,SNOMED:439771001
GEN_URIN,Genitourinary malignancy (if decease reason neoplasia),INT,,0=no| 1=yes,,442,10547,0,1,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:184305005,Cause of death,4083743,Genitourinary test finding,SNOMED:271927003,4154956,,,,Death,event date,4208903,Date of event,SNOMED:439771001
ALTRO_NEOP,Other neoplasia (if decease reason neoplasia),INT,,0=no| 1=yes,,442,10547,0,1,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,snomed:184305005,Cause of death,4083743,Tumor type|Other,LOINC:LP207876-6|snomed:74964007,37069845|9177,,,,Death,event date,4208903,Date of event,SNOMED:439771001
DESCNOCARD,NON cardiovascular reason description,STR,,,,94,10895,,,,,,,snomed:184305005,Cause of death,4083743,non-cardiovascular,icare:icv2000000021,2000000021,,,,Death,event date,4208903,Date of event,SNOMED:439771001
inworsehf,With worsening heart failure event,INT,,0=no| 1=yes,,10989,0,0,1,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,loinc:LP36129-2,Event outcome,1027548,Emergency hospital admission for heart failure,snomed:416683003,4215511,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
innewhosp,With re-hospitalization event,INT,,0=no| 1=yes,,10989,0,0,1,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,loinc:LP36129-2,Event outcome,1027548,History of hospitalization,LOINC:LP72712-0,1030615,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
indeath,With death event,INT,,0=no| 1=yes,,10989,0,0,1,,loinc:LA32-8|loinc:LA33-6,No|Yes,45878245|45877994,loinc:LP36129-2,Event outcome,1027548,Death,snomed:419620001,4306655,,,,Observation,event date,4208903,Date of event,SNOMED:439771001
